url,title,year,month,film,season,platform,comment,
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,Class,,Netflix,"Some Netflix shows on my gaydar although I couldn’t confirm one way or the other if they’re gonna have queers relevant to our interest are: the new Elite-inspired Indian teen melodrama Class, Season Four of You, and Tig Notaro in We Have a Ghost.",
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,You,4,Netflix,"Some Netflix shows on my gaydar although I couldn’t confirm one way or the other if they’re gonna have queers relevant to our interest are: the new Elite-inspired Indian teen melodrama Class, Season Four of You, and Tig Notaro in We Have a Ghost.",
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,We Have a Ghost,,Netflix,"Some Netflix shows on my gaydar although I couldn’t confirm one way or the other if they’re gonna have queers relevant to our interest are: the new Elite-inspired Indian teen melodrama Class, Season Four of You, and Tig Notaro in We Have a Ghost.",
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,Harlem,2,Prime Video,"This series about four stylish & ambitious best girlfriends in Harlem has a lesbian lead, Tye, played by lesbian actress Jerrie Johnson! She’ll be “considering her future” in Season Two while her friends go on their own journeys of self-discovery as they level up to the next phase of their careers, relationships and big city dreams.",
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,Carnival Row,2,Prime Video,"In Season Two of this fantasy-noir series, inspector Philo is investigating a series of gruesome murders that have stoked social tension while pansexual character Vignette Stonemoss (Cara Delevingne) and the Black Raven are plotting payback against The Burgue’s human leaders. Bisexual character Tourmaline will be inheriting supernatural powers that threaten her fate and the future of The Row. I have no idea what any of this means but it feels true that “with humans and fae folk divided and freedom on the line, each hero will face impossible dilemmas and soul-defining tests in the epic conclusion of Carnival Row.”",
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,Harley Quinn: A Very Problematic Valentine’s Day,,HBO Max,"This special event follows Harley as she pursues her goal of having the best first Valentine’s Day ever with Ivy with obsessive zeal. Meanwhile, Bane’s efforts to impress an unexpected date go off-kilter and Clayface “engages in some self-love.”",
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,The Watchful Eye,1,Freeform/Hulu,"A late add from the tail end of January is this thriller following a young woman with a complicated past who secures a nanny job with an affluent Manhattan family, where her own intent to be a con woman is compromised by the building’s deadly secrets and its inhabitants’ ulterior motives. She also makes nanny friends and of those nanny friends, Ginny (Aliyah Royale) and Kim (Clare Filipow) are queer and Alex (Baraka Rahmani) uses they/them pronouns.",
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,Kissing Jessica Stein,,Hulu,"This classic was frustrating in its time but is delightful to experience in the present day — following Jessica, who’s yet to find her soulmate and thus goes for it when the personal ad she feels drawn to turns out to be written by a woman — a downtown hipster named Helen, with whom she strikes up a relationship despite not being sure if she’s actually into women. Also Tovah Feldshuh is her Mom!",
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,A Million Little Things,5,ABC/Hulu,"A Million Little Things will kick off its fifth and final season with a funeral and a new haircut for the love of my life, Grace Park, who plays a character named Katherine who is currently dating Greta, played by Cameron Esposito.",
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,Three Ways ,,Hulu,"From Black-led media platform Andscape, “Three Ways” is a sex comedy following Stacey, a sexually awkward woman who decides to take control of her life, get over her ex and conquer her fears by having a threesome with her new suitor and a mysterious woman she’s yet to meet.",
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,Planet Sex with Cara Delevingne,0,Hulu,"In this docuseries, queer model Cara Delevingne will “put her mind and body on the line in search of answers regarding human sexuality, its joys, mysteries and constantly changing nature. In every episode, she shares her own personal experiences. Uniquely unfiltered and authentic, there’s no limit on how far Cara’s willing to go to explore what makes us all human.”",
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,Love Trip: Paris,1,Freeform/Hulu,"Premiering on Freeform on February 14th and debuting the next day on Hulu, this reality program is dropping four American girls who are allegedly “unlucky in love in their own country” into a French penthouse in the middle of Pairs, beneath a floor of French suitors ready to date them. Caroline is a personal trainer and a lesbian looking for her dream girl, Lacy is a France-obsessed mental health influencer who identifies as sexually fluid, and Josielyn is a Mexican transgender L.A.-based model who’s also open to dating people of all genders!",
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,Grey’s Anatomy,19,ABC/Hulu,,
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,Station 19,6,ABC/Hulu,,
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,Spin Me Round,,Hulu,"Shelli reported that the gay vibes in this comedy-thriller starring Aubrey Plaza and Alison Brie “are there but it’s not some major part of the film,” so your milage may vary! Aubrey Plaza plays the manager of a chain restaurant who gets to attend a special training program in Italy but her dreams of European glamour and romance turn out to not be what she’d hoped for because also there is DANGER!",
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,Bel-Air,2,Peacock,"Fresh Prince alum Tatayana Ali is joining the cast in a recurring guest star capacity for Season Two of this dramatic adaptation of The Fresh Prince of Bel-Air. She’ll be playing Mrs. Hughes, an English teacher who takes Ashley Banks (aka Ali’s role in the original sitcom) under her wing. Ashley came out as queer in the first season and we can’t wait to see what happens in the second!",
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,Black Panther: Wakanda Forever,,Disney+,"In the wake of King T’Challa’s death, Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje must fight to protect their nation from intervening world powers and work to embrace the best new path forward for the kingdom of Wakanda. Aneka and Ayo, both Dora Milaje who have a relationship in the comics, are girlfriends on the periphery of Wakanda Forever.",
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,The Proud Family: Louder and Prouder,2,Disney+,"Nic reported that this reboot of The Proud Family (2005-2010) is “louder, prouder and gayer” — and it includes the genderfluid character Michael (voiced by EJ Johnson). The second season promises to “highlight culturally specific experiences of the Black community.” Billy Porter voices Randall, one of two gay Dads in the series. (The other is played by Zachary Quinto.)",
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,Pincecone & Pony,2,Apple TV+,"Queer story editor Taneka Stotts and non-binary writers Pilot Viruet and Gigi D.G. are behind this show that features a queer/nonbinary storyline between Rachel House’s Gladys and her partner Ser Anzoategui‘s Wren. This animated series is about a plucky heroine going on magical adventures as she faces down dragons, giants, trolls, and all the hard parts of growing up.",
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,Star Trek: Picard,3,Paramount+,The final season of this spin-off which officially made Seven of Nine (Jeri Ryan) canonically bisexual and in a romance with Raffi Musiker (Michelle Hurd) promises a “proper send-off” to the series. Also Levar Burton is coming back!,
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,The Equalizer,2,Paramount+,,
february-2023-whats-new-gay-and-streaming-on-netflix-hbo-max-hulu-prime-video-peacock-disney-shudder-and-paramount,February 2023: What’s New and Gay To Stream,2023,2,Attachment,,Shudder,"In this horror romance, has-been Danish actress Maja falls for British Jewish academic Leah, who swiftly has a seizure and must return to London and Maja of course follows her. But then she meets Leah’s mother, Chana, who is very religious and hates Maja and is very mysterious!! When strange things begin happening in the building, Maja suspects Chana’s secrets are super dark. “The horror of Attachment is found in Jewish folklore,” wrote Drew in her review. “But it’s also found in the specific relationships Jewish children have with their mothers.”",
february-2025-whats-new-gay-and-streaming-on-netflix-hulu-max-paramount-prime-video-and-peacock,"February 2025: What’s New, Gay and Streaming on Netflix, Hulu, Max, Paramount+, Prime Video and Peacock",2025,2,Celebrity Bear Hunt,1,Netflix,"So, like twelve celebrities are sent to a beach house in Costa Rica, given survival-related tasks (e.g, jump off a moving boat, build a shelter) and if they fail they are released into a jungle known as the “Bear Pit” where British adventurer / writer Bear Grylls hunts them down? Amongst the celebrities in question are bisexual Spice Girl Mel B, gay journalist / TV presenter Steph McGovern and pansexual fashion model Lottie Moss.",
february-2025-whats-new-gay-and-streaming-on-netflix-hulu-max-paramount-prime-video-and-peacock,"February 2025: What’s New, Gay and Streaming on Netflix, Hulu, Max, Paramount+, Prime Video and Peacock",2025,2,Apple Cider Vinegar,0,Netflix,"Belle Gibson was a single Mom in Australia who lied about having cancer, lied about “curing” herself through a specific diet, and created a widely acclaimed and super-popular app, The Whole Pantry, aimed at promoting her “cure” to others. This series tells her story and in doing so invents (I assume) the character of Chanelle (queer actress Aisha Dee), who does seem to be framed as a queer character (you’ll see what I mean) — but her queerness isn’t really adressed, let alone central to the narrative. Chanelle is the best friend and eventual manager of Belle’s idol, Milla (Alycia Debnam-Carey), an influencer who actually did have cancer and attempted to cure herself through juicing and coffee enemas, as well as Belle’s eventual manager. This series is a ride. I’m still trying to parse through how I feel about it, honestly!",
february-2025-whats-new-gay-and-streaming-on-netflix-hulu-max-paramount-prime-video-and-peacock,"February 2025: What’s New, Gay and Streaming on Netflix, Hulu, Max, Paramount+, Prime Video and Peacock",2025,2,Spencer,,Netflix,"Our very own Kristen Stewart plays our very own Princess Diana in this critically acclaimed (by me) film that also features her royal dresser, Maggie (Sally Hawkins), who is gay!",
february-2025-whats-new-gay-and-streaming-on-netflix-hulu-max-paramount-prime-video-and-peacock,"February 2025: What’s New, Gay and Streaming on Netflix, Hulu, Max, Paramount+, Prime Video and Peacock",2025,2,Valeria,4,Netflix,"In the final season of Valeria, the four close friends at the story’s epicenter are venturing into their thirties and facing new challenges. Our resident queer character, Nerea (Teresa Riott), will be seeking “balance between her professional life as a freelancer and stability with Georgina (Mima Riera).”",
february-2025-whats-new-gay-and-streaming-on-netflix-hulu-max-paramount-prime-video-and-peacock,"February 2025: What’s New, Gay and Streaming on Netflix, Hulu, Max, Paramount+, Prime Video and Peacock",2025,2,In the Summers,,Hulu,"Queer director Alesandra Lacorazza Samudio’s directorial debut is a semi-autobiographical film about two sisters, girly Eva and tomboy Victoria, who live in California and spend fraught summers with their father in New Mexico. ”The greatest strength of In the Summers are these well-written, realistic, complicated characters and watching how the change — or don’t — and how their relationships change — or don’t — over time,” wrote Drew",
february-2025-whats-new-gay-and-streaming-on-netflix-hulu-max-paramount-prime-video-and-peacock,"February 2025: What’s New, Gay and Streaming on Netflix, Hulu, Max, Paramount+, Prime Video and Peacock",2025,2,Milk,,Prime Video,"The Harvey Milk biopic follows the influential leader and the group of activists that came up around him, including Allison Pill as LGBT rights activist Anne Kronenberg.",
february-2025-whats-new-gay-and-streaming-on-netflix-hulu-max-paramount-prime-video-and-peacock,"February 2025: What’s New, Gay and Streaming on Netflix, Hulu, Max, Paramount+, Prime Video and Peacock",2025,2,Clean Slate,1,Prime Video,"Laverne Cox stars as Desiree Slate, a gallerist who returns home to Alabama for the first time since fleeing for New York as a teenager, in this smart little comedy that’s been in development for seven years. Now an out trans woman reeling from a series of dysfunctional relationships with men, she’s going back to the root of it all and trying to reconnect with her father, carwash owner Harry Slate (George Wallace), after 23 years of estrangement.",
february-2025-whats-new-gay-and-streaming-on-netflix-hulu-max-paramount-prime-video-and-peacock,"February 2025: What’s New, Gay and Streaming on Netflix, Hulu, Max, Paramount+, Prime Video and Peacock",2025,2,Yellowjackets,3,Paramount+,"At last we have arrived at the long-awaited third season of Yellowjackets, and yes of course Kayla will be recapping every minute of this event as we do a little time jump in both timelines, grappling with cannibalism, an unexpected murder from the cliffhanger finale and Natalie’s reign as queen. Hilary Swank and Joel McHale are joining the cast. We cannot wait!",
february-2025-whats-new-gay-and-streaming-on-netflix-hulu-max-paramount-prime-video-and-peacock,"February 2025: What’s New, Gay and Streaming on Netflix, Hulu, Max, Paramount+, Prime Video and Peacock",2025,2,Tracker,2,Paramount+,"Season Two of this wildly popular program about a guy who tracks people down, sometimes with the help of his handler, butch lesbian Velma Bruin (Abby Mc, returns to CBS.",
february-2025-whats-new-gay-and-streaming-on-netflix-hulu-max-paramount-prime-video-and-peacock,"February 2025: What’s New, Gay and Streaming on Netflix, Hulu, Max, Paramount+, Prime Video and Peacock",2025,2,I’ll Be Right There,,Peacock,"Sepideh Moafi and Edie Falco play lesbian lovers in this “sweet indie dramedy” centered on Wanda, a bookkeeper at a bar stretched thin as a mom, daughter and ex-wife — while also hooking up with Sophie (Sepideh Moafi) and hooking up with her boss, Marshall (unfortunately played by Michael Rapaport).",
february-2025-whats-new-gay-and-streaming-on-netflix-hulu-max-paramount-prime-video-and-peacock,"February 2025: What’s New, Gay and Streaming on Netflix, Hulu, Max, Paramount+, Prime Video and Peacock",2025,2,Life Partners,,HBO Max,"Leighton Meester is Sasha, a lesbian who’s entrenched in a deeply co-dependent best friendship with Paige, who is straight — a friendship that’s tested when Paige meets a man (Adam Brody) she actually likes and Sasha hates sharing. B Nichols called it “a film in which everything that could go usually wrong in a lesbian film inexplicably doesn’t!” Beth Dover and Gabourey Sidibe are delightful as Sasha’s queer friends.",
february-2025-whats-new-gay-and-streaming-on-netflix-hulu-max-paramount-prime-video-and-peacock,"February 2025: What’s New, Gay and Streaming on Netflix, Hulu, Max, Paramount+, Prime Video and Peacock",2025,2,90 Day Fiancé,11,HBO Max,"Big news for 90 Day Fiancéfans (Nic) — the series will be introducing its very first throuple — Matt, Amani and Any. Any, an exotic dancer from Tijuana, is invited to Matt and Amani’s married family life in San Diego, as the couple must decide if they’re ready to divorce so one of them can marry Any, thus enabling her to immigrate to the U.S. Returning couple Alliya and Shawn face new challenges as Shawn finds that Alliya, a trans woman, “is evolving into a very different person than the one he first fell in love with as she continues to transition and explore surgical options.”",
february-2025-whats-new-gay-and-streaming-on-netflix-hulu-max-paramount-prime-video-and-peacock,"February 2025: What’s New, Gay and Streaming on Netflix, Hulu, Max, Paramount+, Prime Video and Peacock",2025,2,The White Lotus,3,HBO Max,"We have spent a lot of time scrutinizing a lesbian kiss in the initial teaser for White Lotus, attempting to determine whomst is involved and if it is perhaps a storyline or just a thing that is happening for some other reason. It appears that the characters played by Charlotte Le Bon and Aimee Lou Wood are kissing in a scene that I think is some kind of wild hotel room party. But Aimee’s character, Chelsea, is there with her husband, so who knows! Anyhow I think we will all watch it regardless.",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,The Girl With the Dragon Tattoo (2011),,Netflix,Hot sad bisexual hacker Lisbeth Salmander (Roony Mara) is enlisted by journalist Mikael Blomkvist (Daniel Craig) to track down a Killer of Women who is responsible for the disappearance of a woman 40 years ago. This very intense remake of the excellent original Swedish film which was an adaptation of the book by Stieg Larsson also requires a very intense trigger warning for sexual assault.,
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,History of Swear Words ,,Netflix,"One of the trailers for this six-part documentary series starring Nicholas Cage of all people features a montage of Bitch Magazines, which is enough to warrant its inclusion here. But also, the group of entertainers who make remarks in this film include Patti Harrison and a lot of feminist scholars and linguists so it should be a really good time.",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,L.A.’s Finest,1,Netflix,"This Bad Boys spinoff stars Gabrielle Union and Jessica Alba as …. cops! Neat. Union plays Syd Burnett, a bisexual with an “unapologetic lifestyle” and some skeletons in her closet who’s partnered up with Nancy McKenna, a working Mom who also has a very complicated past.",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,Pretend It’s a City,,Netflix,Legendary Lesbian Fashion Icon and New York Jew Fran Lebowitz is Martin Scorsese following Fran around the city as she delivers her myriad opinions on numerous topics.,
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,Last Tango in Halifax,4,Netflix,"Due to the two-part Christmas Special that some refer to as Season 4 and some smash into Season 3, it was not immediately clear to me which season of Last Tango in Halifax we could expect to drop on Netflix this year, but rest assured I’ve settled the matter: it’s Season 4/5. There’s a new relationship for the widowed Caroline. Sally says that Season Five “has a lot to love (if you can forgive it for Season Three).”",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,The Magicians,5,Netflix,"Which activities will the students of the Brakebills College for Magical Pedagogy get up to in Season 5? If you’ve already seen it, you already know, but if you haven’t, now’s the time! There’s a lot of sexual fluidity on this show including Margo, who LezWatchTV describes as “the baddest bitch you are ever going to meet.”",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,Call My Agent! (Dix pour cent),4,Netflix,"This French series follows the agents at top Paris talent firm ASK, including Andréa Martel, a lesbian who finds herself in charge of a now-precariously-established agency when season four gets jumping. The series has definitely made some missteps with Andrea’s character in past season. Update: read the comments of this post for the details on whether or not this is worth your time!",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,So My Grandma’s a Lesbian,,Netflix,"I am going to go ahead and give this film a pre-emptive Pulitzer Prize for its title. This Spanish comedy follows a young Spanish lawyer whose plans to marry some rich Scottish dude from a conservative family are put into jeopardy when her 70-year-old grandmother, Sofia, comes out and announces her intention to marry her best friend. Good for them.",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,Zoey’s Extraordinary Playlist,2,Hulu,"Zoey Clark is a smart tech kid who, after a very strange event, finds herself able to hear the innermost thoughts, wants and desires of everybody around her, but as songs! Her neighbor and close pal Mo, played by Alex Newell, is gender fluid.",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,« 9-1-1 »,4,Fox/Hulu,"We have been told to expect the following: Athena works to put her physical and emotional injuries behind her to get back into the job, Maddie and Chimney prepare to have a baby, and an exploration into Buck’s childhood. What will happen to our beloved Hen (Aisha Hinds)?? We will find out.",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,9-1-1: Lone Star ,2,Fox/Hulu,Liv Tyler won’t be returning for Season 2 (she did not want to travel to the U.S. to film during a pandemic) and Gina Torres will be joining the cast. Brain Michael Smith will return as trans firefightere Paul Strickland.,
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,Grown-Ish,3,Hulu,"In the back half of Season 3, we will see “the Cal U gang as they navigate the second half of junior year and begin to step out as adults into the real world. After dropping out to focus on her fashion career, Zoey wonders if life outside of Cal U is all it’s cracked up to be or if she still has some growing left to do.” And uh, Nomi has her baby so that’ll be interesting",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,Flack,1,Amazon Prime,"Anna Pacquin is Robyn, a bisexual and unflappable PR person/fixer with a messy personal life. You know; an antihero! The show was abruptly cancelled by PopTV earlier this year but picked up by Amazon for its first and second seasons. Variety described the show as “often too blunt to be as interesting as it palpably wants to be, burying any shred of nuance by underlining its themes in red marker to make sure you can’t miss them.",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,Chick Fight,,Amazon Prime,"This certified hot mess of a film written and directed by men about women punching each other in the face centers on Anna (Malin Akerman), a girl going nowhere with a lesbian police officer best friend, Charleen (Dulce Sloan), who convinces her to join an all-female fight club headed up by Bear (Fortune Feimster). Bisexual actress Bella Thorne stars as Olivia, the fight club’s usual champion. There are also some men who insert themselves into this already muddled narrative full of stereotypes and tired humor.",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,Gossip Girl,6,HBO Max,"You probably won’t watch this show strictly for the eventual very brief kiss between Hilary Duff and Jessic Szohr (also, Penn Padgley is there, so) but, just so you know, that does happen. It’s there waiting for you. In 2017, the co-creators of the soapy teen drama about rich kids in Manhattan said their only regret about the show was that they didn’t have enough gay or POC representation. So we are all on the same page there.",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,The Color Purple,,HBO Max,"Alice Walker’s epistolary novel was de-gayed for this wildly successful Steven Spielberg adaptation starring Danny Glover, Oprah Winfrey, Rae Dawn Chong and Whoopi Goldberg. Goldberg plays Celie, a teenager in rural Georgia with an abusive family who falls for showgirl Shug Avery, her husband’s mistress who Celie nurses back into health.",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,Mullholland Drive,,HBO Max,"Drew called this twisty surrealist neo-noir thriller “a cinematic masterpiece and one of David Lynch’s finest works.” Naomi Watts plays Betty, an actress new to Los Angeles who is immediately drawn to and falls for an amnesiac woman recovering from a car crash.",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,Ready Player One,,HBO Max,"Based on Ernest Cline’s sci-fi novel, Ready Player One is set in a dystopian 2045 where humans escape the real world through the virtual world of OASIS, where they can adopt characters of their choice and compete for elusive escape from their bleak reality. Lena Waithe plays lead character Wade’s best friend, lesbian gamer Aech/Helen Harris, who Heather describes as “[weaving] a magic spell around that audience, ping-ponging them between flashes of awe and fits of giggles.”",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,V for Vendetta ,,HBO Max,"WHAT IS HAPPENING WITH THIS MOVIE? Literally every month it is leaving or arriving at a new streaming network. I actually stopped erasing old streaming guides from wordpress after I released a new one specifically because I didn’t want to have to keep writing new blurbs for V for Vendetta. It came to HBO Max in September, must have left at some point (perhaps for its November engagement with Netflix? Who can say), and now it’s back. As aforementioned, V for Vendetta is a dystopian political action film from the Wachowskis starring Natalie Portman. A*terE*len’s Sarah Warn called, in 2006, “One of the most pro-gay films ever.”",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,Lost and Delirious,,HBO Max,"This objectively terrible film that for some reason remains beloved amongst huge swaths of the lesbian and bisexual population, including by our noted film critic Drew Gregory, will be entering your homes via HBO Max if you desire boarding school lesbians, Mischa Barton, ravens, and mixed metaphors.",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,Person of Interest,5,HBO Max,This sci-fi crime drama follows a group of detectives and assorted nerds who seek to stop various violent crimes using a computer program that predicts terrorist acts. Computer hacker Root (Amy Acker) joins the crew in Season Two after guesting in Season One and eventually one of the show’s only romantic storylines erupts between her and psychopathic assassin Shaw (Sarah Shahi),
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,Euphoria,,HBO Max,"Hunter Schafer co-wrote and co-executive produced part two of Euphoria’s two part special episodes. The first part focused on Rue and her attempts at sobriety, and the second part will be focused squarely on Jules, following her over the Christmas holiday as she “reflects on the year.”",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,Babylon,5,HBO Max,"This ’90s series set on a space station had one poorly handled implied relationship between bisexual Space Jew Susan Ivanova and bisexual corporate telepath Talia Winters, but you probably liked it despite that not because of it.",
january-2021-streaming,January 2021: What’s New and Gay To Stream,2021,1,Dickinson,2,Apple TV+,"Season Two will continue to explore why Dickinson’s poems were only published posthumously — this time, it’s not just the patriarchy to blame, but Emily’s own “ambivalent relationship to fame.” “Season Two is really all about fame and the attention economy, which was a central concern in Emily Dikcinson’s poems,” said showrunner Alena Smith. You can watch a featurette right here.",
january-2022-heres-whats-new-and-gay-on-netflix-hbo-max-and-hulu-in-january-2022,January 2022: What’s New and Gay To Stream,2022,1,The Girl With the Dragon Tattoo (2011),,Netflix,"I believe we are as a community familiar with this series, in which Rooney Mara plays traumatized tough bisexual investigator Lisbeth Salander, helping Mikael Blookvist solve the 40-year-old murder of his niece.",
january-2022-heres-whats-new-and-gay-on-netflix-hbo-max-and-hulu-in-january-2022,January 2022: What’s New and Gay To Stream,2022,1,REBƎLDE,1,Netflix,"This series is based on a Mexican telenovela by the same name which was a massive hit, spawning an actual pop group that released nine studio albums. Netflix’s REBƎLDE follows a new crew of very hot and talented teen musicians enrolled at the Elite Way School. Amongst them is Andi (Lizbeth Selene), “a rocker at heart” and “a drummer who scoffs at any rulebook, from what she wears to whom she dates in between rehearsing for Battle of the Bands.” In the trailer we see Andi making out on a couch with Emilia Alo (Giovanna Grigio), “the most popular girl at EWS.”",
january-2022-heres-whats-new-and-gay-on-netflix-hbo-max-and-hulu-in-january-2022,January 2022: What’s New and Gay To Stream,2022,1,Hype House,1,Netflix,"Ten 20-year-old TikTokers have ben picked to live in a 25 million dollar house together and have their lives taped and now you can find out what happens when influencers make content? Together? In a nice house?!!?! And I guess have fights and stuff. Anyhow, one of the housemates, Nikita Dragun, is a trans woman.",
january-2022-heres-whats-new-and-gay-on-netflix-hbo-max-and-hulu-in-january-2022,January 2022: What’s New and Gay To Stream,2022,1,Chosen,1,Netflix,"This “thrilling and absurd story about teenage life” centers on 17-year-old Emma, who is about to “discover an earth shattering truth about her own identity when she delves into the mystery surrounding her quiet Danish town.” The mystery is that the hole in the middle of town everybody said was a meteor is not a meteor hole, it’s a hole caused by aliens crashing their spaceship! Anyhow, Emma definitely has a lesbian romance in this series, they are kissing in the trailer I saw it with my own two eyes.",
january-2022-heres-whats-new-and-gay-on-netflix-hbo-max-and-hulu-in-january-2022,January 2022: What’s New and Gay To Stream,2022,1,Getting Curious with Jonathan Van Ness,1,Netflix,This new reality show from non-binary Queer Eye hair wizard Jonathan Van Ness will see them asking big questions like “was Sister Act realistic” and “what’s the history of scissors?” I will be tuning in thank you!,
january-2022-heres-whats-new-and-gay-on-netflix-hbo-max-and-hulu-in-january-2022,January 2022: What’s New and Gay To Stream,2022,1,Sex Appeal,,Hulu,"This Hulu original film focuses on Avery, who is prepping for sex with her long-distance boyfriend by MASTERING her sexuality, employing her best friend as a test subject. This sounds pretty heterosexual BUT also, the following people are in this film: Margaret Cho, Fortune Feimster, Rebecca Henderson, Paris Jackson. Soooo something gay is going to happen.",
january-2022-heres-whats-new-and-gay-on-netflix-hbo-max-and-hulu-in-january-2022,January 2022: What’s New and Gay To Stream,2022,1,9-1-1: Lone Star,3,Fox/Hulu,,
january-2022-heres-whats-new-and-gay-on-netflix-hbo-max-and-hulu-in-january-2022,January 2022: What’s New and Gay To Stream,2022,1,This is Us,6,NBC/Hulu,,
january-2022-heres-whats-new-and-gay-on-netflix-hbo-max-and-hulu-in-january-2022,January 2022: What’s New and Gay To Stream,2022,1,Black Bear,,Hulu,"Bisexual actress/icon Aubrey Plaza stars in this critically acclaimed psychological meta-thriller. She plays an out-of-town guest seeking filmmaking inspiration who is shacking up with a couple in their Adirondack lakehouse. As per letterboxd, “The group quickly falls into a calculated game of desire, manipulation, and jealousy, unaware of how dangerously intertwined their lives will soon become.” According to at least one review, there is a lesbian in the movie! Vulture placed it at #3 on its list of Aubrey Plaza Movie Roles, Ranked by How Badly She Wants to Kill You.",
